Ending Weight Token,Ending Weight USD,Sale Rate, Total Proceeds , Unsold Tokens ,Min Price
0.01,0.99,0.81," $2,585,983.89 "," 9,500,000.00 ",0.003132853
0.01,0.99,0.82," $3,262,072.68 "," 9,000,000.00 ",0.004081716
0.01,0.99,0.83," $2,211,532.92 "," 8,500,000.00 ",0.003047312
0.01,0.99,0.84," $2,408,290.10 "," 8,000,000.00 ",0.00349155
0.01,0.99,0.85," $7,979,332.32 "," 7,500,000.00 ",0.011385848
0.01,0.99,0.86," $4,542,863.12 "," 7,000,000.00 ",0.007136026
0.01,0.99,0.87," $2,224,223.44 "," 6,500,000.00 ",0.004005814
0.01,0.99,0.88," $4,180,848.91 "," 6,000,000.00 ",0.007703953
0.01,0.99,0.89," $4,184,666.78 "," 5,500,000.00 ",0.008412117
0.01,0.99,0.9," $5,204,894.90 "," 5,000,000.00 ",0.011359437
0.01,0.99,0.91," $3,527,275.82 "," 4,500,000.00 ",0.008776146
0.01,0.99,0.92," $3,727,029.72 "," 4,000,000.00 ",0.010389927
0.01,0.99,0.93," $5,060,104.90 "," 3,500,000.00 ",0.015807799
0.01,0.99,0.94," $5,508,792.69 "," 3,000,000.00 ",0.019991045
0.01,0.99,0.95," $11,512,696.68 "," 2,500,000.00 ",0.048800762
0.01,0.99,0.96," $2,867,082.98 "," 2,000,000.00 ",0.01636316
0.01,0.99,0.97," $3,929,251.38 "," 1,500,000.00 ",0.029159316
0.01,0.99,0.98," $5,725,704.36 "," 1,000,000.00 ",0.062423652
0.01,0.99,0.99," $2,445,418.64 "," 500,000.00 ",0.057174344
0.02,0.98,0.01," $9,889.13 "," 49,500,000.00 ",0.000130384
0.02,0.98,0.02," $19,196.41 "," 49,000,000.00 ",0.00013567
0.02,0.98,0.03," $26,593.13 "," 48,500,000.00 ",0.000140245
0.02,0.98,0.04," $34,879.66 "," 48,000,000.00 ",0.000145302
0.02,0.98,0.05," $54,128.16 "," 47,500,000.00 ",0.000155271
0.02,0.98,0.06," $83,900.71 "," 47,000,000.00 ",0.000170116
0.02,0.98,0.07," $64,815.22 "," 46,500,000.00 ",0.000163398
0.02,0.98,0.08," $87,010.60 "," 46,000,000.00 ",0.000175223
0.02,0.98,0.09," $98,468.01 "," 45,500,000.00 ",0.000182393
0.02,0.98,0.1," $84,816.42 "," 45,000,000.00 ",0.000178102
0.02,0.98,0.11," $199,955.14 "," 44,500,000.00 ",0.000233991
0.02,0.98,0.12," $166,762.96 "," 44,000,000.00 ",0.000220939
0.02,0.98,0.13," $131,522.01 "," 43,500,000.00 ",0.000206606
0.02,0.98,0.14," $136,350.56 "," 43,000,000.00 ",0.000211347
0.02,0.98,0.15," $163,286.02 "," 42,500,000.00 ",0.000227034
0.02,0.98,0.16," $177,223.90 "," 42,000,000.00 ",0.000236648
0.02,0.98,0.17," $118,730.30 "," 41,500,000.00 ",0.000210144
0.02,0.98,0.18," $144,791.62 "," 41,000,000.00 ",0.000225946
0.02,0.98,0.19," $208,039.45 "," 40,500,000.00 ",0.000261261
0.02,0.98,0.2," $230,316.41 "," 40,000,000.00 ",0.000276127
0.02,0.98,0.21," $253,853.18 "," 39,500,000.00 ",0.000292033
0.02,0.98,0.22," $234,354.67 "," 39,000,000.00 ",0.000285364
0.02,0.98,0.23," $210,853.20 "," 38,500,000.00 ",0.000276357
0.02,0.98,0.24," $524,744.10 "," 38,000,000.00 ",0.000452035
0.02,0.98,0.25," $306,925.22 "," 37,500,000.00 ",0.000337086
0.02,0.98,0.26," $282,183.44 "," 37,000,000.00 ",0.000327715
0.02,0.98,0.27," $444,332.26 "," 36,500,000.00 ",0.00042473
0.02,0.98,0.28," $517,080.19 "," 36,000,000.00 ",0.000472717
0.02,0.98,0.29," $341,224.03 "," 35,500,000.00 ",0.000376203
0.02,0.98,0.3," $298,034.02 "," 35,000,000.00 ",0.000355876
0.02,0.98,0.31," $405,328.99 "," 34,500,000.00 ",0.000425809
0.02,0.98,0.32," $397,673.73 "," 34,000,000.00 ",0.000427382
0.02,0.98,0.33," $518,062.90 "," 33,500,000.00 ",0.000508611
0.02,0.98,0.34," $415,106.51 "," 33,000,000.00 ",0.000451338
0.02,0.98,0.35," $767,222.08 "," 32,500,000.00 ",0.000683939
0.02,0.98,0.36," $804,103.91 "," 32,000,000.00 ",0.000718633
0.02,0.98,0.37," $906,251.38 "," 31,500,000.00 ",0.000797582
0.02,0.98,0.38," $521,216.31 "," 31,000,000.00 ",0.000551754
0.02,0.98,0.39," $497,366.81 "," 30,500,000.00 ",0.000544514
0.02,0.98,0.4," $666,830.47 "," 30,000,000.00 ",0.000671245
0.02,0.98,0.41," $679,396.81 "," 29,500,000.00 ",0.000691496
0.02,0.98,0.42," $765,420.12 "," 29,000,000.00 ",0.000765204
0.02,0.98,0.43," $646,257.53 "," 28,500,000.00 ",0.000691544
0.02,0.98,0.44," $1,104,540.48 "," 28,000,000.00 ",0.0010448
0.02,0.98,0.45," $903,661.87 "," 27,500,000.00 ",0.000911654
0.02,0.98,0.46," $908,829.73 "," 27,000,000.00 ",0.000932527
0.02,0.98,0.47," $742,463.05 "," 26,500,000.00 ",0.000819363
0.02,0.98,0.48," $1,035,235.47 "," 26,000,000.00 ",0.001069665
0.02,0.98,0.49," $1,078,592.21 "," 25,500,000.00 ",0.001126057
0.02,0.98,0.5," $851,425.19 "," 25,000,000.00 ",0.000959317
0.02,0.98,0.51," $2,612,507.74 "," 24,500,000.00 ",0.002476106
0.02,0.98,0.52," $572,804.84 "," 24,000,000.00 ",0.000757489
0.02,0.98,0.53," $975,891.60 "," 23,500,000.00 ",0.001130884
0.02,0.98,0.54," $640,072.72 "," 23,000,000.00 ",0.000851349
0.02,0.98,0.55," $861,262.44 "," 22,500,000.00 ",0.001075039
0.02,0.98,0.56," $1,508,628.50 "," 22,000,000.00 ",0.0017124
0.02,0.98,0.57," $1,237,689.00 "," 21,500,000.00 ",0.001489742
0.02,0.98,0.58," $747,200.41 "," 21,000,000.00 ",0.001038709
0.02,0.98,0.59," $1,442,609.78 "," 20,500,000.00 ",0.001770648
0.02,0.98,0.6," $1,255,315.61 "," 20,000,000.00 ",0.001619859
0.02,0.98,0.61," $1,201,589.16 "," 19,500,000.00 ",0.001604013
0.02,0.98,0.62," $894,301.79 "," 19,000,000.00 ",0.001309348
0.02,0.98,0.63," $1,311,161.76 "," 18,500,000.00 ",0.001814116
0.02,0.98,0.64," $1,786,249.98 "," 18,000,000.00 ",0.00241432
0.02,0.98,0.65," $1,693,141.41 "," 17,500,000.00 ",0.002372491
0.02,0.98,0.66," $2,174,293.74 "," 17,000,000.00 ",0.00303187
0.02,0.98,0.67," $2,171,724.38 "," 16,500,000.00 ",0.003120529
0.02,0.98,0.68," $1,684,379.79 "," 16,000,000.00 ",0.002583576
0.02,0.98,0.69," $1,679,549.22 "," 15,500,000.00 ",0.002660452
0.02,0.98,0.7," $1,328,953.87 "," 15,000,000.00 ",0.002262263
0.02,0.98,0.71," $1,691,784.08 "," 14,500,000.00 ",0.002861574
0.02,0.98,0.72," $1,389,077.60 "," 14,000,000.00 ",0.002513378
0.02,0.98,0.73," $2,477,964.92 "," 13,500,000.00 ",0.004286818
0.02,0.98,0.74," $2,131,420.72 "," 13,000,000.00 ",0.003896414
0.02,0.98,0.75," $3,457,073.17 "," 12,500,000.00 ",0.006261737
0.02,0.98,0.76," $1,305,476.02 "," 12,000,000.00 ",0.002787309
0.02,0.98,0.77," $5,730,310.17 "," 11,500,000.00 ",0.010924773
0.02,0.98,0.78," $3,396,371.81 "," 11,000,000.00 ",0.007001036
0.02,0.98,0.79," $2,214,517.73 "," 10,500,000.00 ",0.004989469
0.02,0.98,0.8," $2,522,539.15 "," 10,000,000.00 ",0.005880842
0.02,0.98,0.81," $1,539,812.00 "," 9,500,000.00 ",0.004035163
0.02,0.98,0.82," $11,803,415.62 "," 9,000,000.00 ",0.028021385
0.02,0.98,0.83," $3,626,145.98 "," 8,500,000.00 ",0.009624677
0.02,0.98,0.84," $1,352,938.31 "," 8,000,000.00 ",0.00430548
0.02,0.98,0.85," $3,899,120.57 "," 7,500,000.00 ",0.011667304
0.02,0.98,0.86," $2,582,643.55 "," 7,000,000.00 ",0.00858198
0.02,0.98,0.87," $2,460,593.49 "," 6,500,000.00 ",0.00885132
0.02,0.98,0.88," $7,542,952.32 "," 6,000,000.00 ",0.027244304
0.02,0.98,0.89," $3,607,527.14 "," 5,500,000.00 ",0.014808816
0.02,0.98,0.9," $4,800,998.30 "," 5,000,000.00 ",0.021267016
0.02,0.98,0.91," $3,342,524.30 "," 4,500,000.00 ",0.016875655
0.02,0.98,0.92," $2,366,037.44 "," 4,000,000.00 ",0.013897562
0.02,0.98,0.93," $4,690,630.97 "," 3,500,000.00 ",0.029737133
0.02,0.98,0.94," $8,385,905.32 "," 3,000,000.00 ",0.060396436
0.02,0.98,0.95," $5,699,373.96 "," 2,500,000.00 ",0.050076224
0.02,0.98,0.96," $4,671,458.68 "," 2,000,000.00 ",0.051896958
0.02,0.98,0.97," $9,664,395.60 "," 1,500,000.00 ",0.138809399
0.02,0.98,0.98," $4,181,183.59 "," 1,000,000.00 ",0.093798457
0.02,0.98,0.99," $12,774,591.17 "," 500,000.00 ",0.55018034
0.03,0.97,0.01," $11,862.45 "," 49,500,000.00 ",0.00019885
0.03,0.97,0.02," $15,804.60 "," 49,000,000.00 ",0.000203419
0.03,0.97,0.03," $24,306.82 "," 48,500,000.00 ",0.000211049
0.03,0.97,0.04," $33,792.34 "," 48,000,000.00 ",0.000219485
0.03,0.97,0.05," $36,109.95 "," 47,500,000.00 ",0.000223336
0.03,0.97,0.06," $52,367.81 "," 47,000,000.00 ",0.00023663
0.03,0.97,0.07," $41,943.78 "," 46,500,000.00 ",0.000232099
0.03,0.97,0.08," $134,606.33 "," 46,000,000.00 ",0.000298202
0.03,0.97,0.09," $117,852.29 "," 45,500,000.00 ",0.000289857
0.03,0.97,0.1," $106,718.43 "," 45,000,000.00 ",0.000285269
0.03,0.97,0.11," $119,353.63 "," 44,500,000.00 ",0.000297436
0.03,0.97,0.12," $119,848.66 "," 44,000,000.00 ",0.000301172
0.03,0.97,0.13," $135,204.17 "," 43,500,000.00 ",0.000315776
0.03,0.97,0.14," $163,926.40 "," 43,000,000.00 ",0.000340531
0.03,0.97,0.15," $132,594.17 "," 42,500,000.00 ",0.000321268
0.03,0.97,0.16," $157,359.97 "," 42,000,000.00 ",0.000343705
0.03,0.97,0.17," $146,735.34 "," 41,500,000.00 ",0.000339766
0.03,0.97,0.18," $190,762.06 "," 41,000,000.00 ",0.000377803
0.03,0.97,0.19," $177,456.00 "," 40,500,000.00 ",0.000372098
0.03,0.97,0.2," $306,593.78 "," 40,000,000.00 ",0.000478649
0.03,0.97,0.21," $420,406.31 "," 39,500,000.00 ",0.000575653
0.03,0.97,0.22," $219,684.39 "," 39,000,000.00 ",0.000420587
0.03,0.97,0.23," $233,079.44 "," 38,500,000.00 ",0.000437032
0.03,0.97,0.24," $513,512.56 "," 38,000,000.00 ",0.000675714
0.03,0.97,0.25," $564,054.25 "," 37,500,000.00 ",0.000727265
0.03,0.97,0.26," $267,000.03 "," 37,000,000.00 ",0.000483688
0.03,0.97,0.27," $326,752.39 "," 36,500,000.00 ",0.000541986
0.03,0.97,0.28," $458,592.37 "," 36,000,000.00 ",0.000665107
0.03,0.97,0.29," $275,231.80 "," 35,500,000.00 ",0.000511447
0.03,0.97,0.3," $354,035.09 "," 35,000,000.00 ",0.000589821
0.03,0.97,0.31," $722,774.66 "," 34,500,000.00 ",0.000935727
0.03,0.97,0.32," $496,566.52 "," 34,000,000.00 ",0.00073949
0.03,0.97,0.33," $310,710.24 "," 33,500,000.00 ",0.000575414
0.03,0.97,0.34," $503,589.82 "," 33,000,000.00 ",0.00076862
0.03,0.97,0.35," $416,655.64 "," 32,500,000.00 ",0.000696016
0.03,0.97,0.36," $446,350.82 "," 32,000,000.00 ",0.000736184
0.03,0.97,0.37," $648,251.62 "," 31,500,000.00 ",0.000950184
0.03,0.97,0.38," $598,844.91 "," 31,000,000.00 ",0.000915206
0.03,0.97,0.39," $491,063.93 "," 30,500,000.00 ",0.000818669
0.03,0.97,0.4," $799,276.40 "," 30,000,000.00 ",0.001156601
0.03,0.97,0.41," $859,137.01 "," 29,500,000.00 ",0.001240258
0.03,0.97,0.42," $451,253.75 "," 29,000,000.00 ",0.000817691
0.03,0.97,0.43," $533,615.17 "," 28,500,000.00 ",0.000923257
0.03,0.97,0.44," $599,084.24 "," 28,000,000.00 ",0.001013551
0.03,0.97,0.45," $803,971.31 "," 27,500,000.00 ",0.001267156
0.03,0.97,0.46," $924,232.62 "," 27,000,000.00 ",0.001431221
0.03,0.97,0.47," $1,318,774.34 "," 26,500,000.00 ",0.001928184
0.03,0.97,0.48," $1,176,762.30 "," 26,000,000.00 ",0.001792862
0.03,0.97,0.49," $1,894,108.29 "," 25,500,000.00 ",0.002715996
0.03,0.97,0.5," $1,449,347.77 "," 25,000,000.00 ",0.002208763
0.03,0.97,0.51," $875,758.66 "," 24,500,000.00 ",0.001514841
0.03,0.97,0.52," $977,353.68 "," 24,000,000.00 ",0.001680029
0.03,0.97,0.53," $798,042.51 "," 23,500,000.00 ",0.001474925
0.03,0.97,0.54," $2,244,864.00 "," 23,000,000.00 ",0.00349267
0.03,0.97,0.55," $1,650,662.92 "," 22,500,000.00 ",0.002736671
0.03,0.97,0.56," $1,174,928.01 "," 22,000,000.00 ",0.002116281
0.03,0.97,0.57," $1,176,620.73 "," 21,500,000.00 ",0.002167994
0.03,0.97,0.58," $1,376,019.42 "," 21,000,000.00 ",0.002519358
0.03,0.97,0.59," $808,322.36 "," 20,500,000.00 ",0.001706652
0.03,0.97,0.6," $1,337,076.34 "," 20,000,000.00 ",0.002583892
0.03,0.97,0.61," $2,497,237.02 "," 19,500,000.00 ",0.004528276
0.03,0.97,0.62," $1,400,647.04 "," 19,000,000.00 ",0.002825543
0.03,0.97,0.63," $1,138,906.42 "," 18,500,000.00 ",0.002455304
0.03,0.97,0.64," $1,174,574.43 "," 18,000,000.00 ",0.00258608
0.03,0.97,0.65," $1,124,312.04 "," 17,500,000.00 ",0.002569322
0.03,0.97,0.66," $2,747,356.79 "," 17,000,000.00 ",0.005658868
0.03,0.97,0.67," $1,691,364.90 "," 16,500,000.00 ",0.003810009
0.03,0.97,0.68," $1,250,175.25 "," 16,000,000.00 ",0.003058611
0.03,0.97,0.69," $1,721,629.88 "," 15,500,000.00 ",0.00411754
0.03,0.97,0.7," $1,210,302.85 "," 15,000,000.00 ",0.00317867
0.03,0.97,0.71," $5,212,248.94 "," 14,500,000.00 ",0.012001588
0.03,0.97,0.72," $2,695,373.89 "," 14,000,000.00 ",0.006754705
0.03,0.97,0.73," $1,520,078.26 "," 13,500,000.00 ",0.004256431
0.03,0.97,0.74," $1,986,507.74 "," 13,000,000.00 ",0.005552966
0.03,0.97,0.75," $2,543,561.75 "," 12,500,000.00 ",0.007182163
0.03,0.97,0.76," $3,180,016.09 "," 12,000,000.00 ",0.00915609
0.03,0.97,0.77," $3,021,936.07 "," 11,500,000.00 ",0.009120352
0.03,0.97,0.78," $5,144,542.12 "," 11,000,000.00 ",0.015627723
0.03,0.97,0.79," $1,505,651.29 "," 10,500,000.00 ",0.005429769
0.03,0.97,0.8," $2,484,645.32 "," 10,000,000.00 ",0.008792599
0.03,0.97,0.81," $2,223,542.68 "," 9,500,000.00 ",0.008387765
0.03,0.97,0.82," $4,236,894.39 "," 9,000,000.00 ",0.015917998
0.03,0.97,0.83," $2,224,378.42 "," 8,500,000.00 ",0.009378264
0.03,0.97,0.84," $3,587,134.51 "," 8,000,000.00 ",0.015344156
0.03,0.97,0.85," $5,594,926.37 "," 7,500,000.00 ",0.02482214
0.03,0.97,0.86," $3,148,609.77 "," 7,000,000.00 ",0.015559279
0.03,0.97,0.87," $1,965,389.13 "," 6,500,000.00 ",0.011007724
0.03,0.97,0.88," $3,919,069.80 "," 6,000,000.00 ",0.022210701
0.03,0.97,0.89," $4,213,611.21 "," 5,500,000.00 ",0.025923416
0.03,0.97,0.9," $4,834,285.48 "," 5,000,000.00 ",0.032440053
0.03,0.97,0.91," $3,930,985.23 "," 4,500,000.00 ",0.029706424
0.03,0.97,0.92," $8,586,688.74 "," 4,000,000.00 ",0.070204293
0.03,0.97,0.93," $4,195,358.79 "," 3,500,000.00 ",0.04059384
0.03,0.97,0.94," $3,179,727.90 "," 3,000,000.00 ",0.036668634
0.03,0.97,0.95," $5,945,179.32 "," 2,500,000.00 ",0.078999675
0.03,0.97,0.96," $3,806,151.46 "," 2,000,000.00 ",0.064960608
0.03,0.97,0.97," $5,202,810.53 "," 1,500,000.00 ",0.11617518
0.03,0.97,0.98," $3,354,963.41 "," 1,000,000.00 ",0.115945675
0.03,0.97,0.99," $7,461,507.01 "," 500,000.00 ",0.495010895
0.04,0.96,0.01," $11,728.69 "," 49,500,000.00 ",0.000267781
0.04,0.96,0.02," $16,337.59 "," 49,000,000.00 ",0.000274513
0.04,0.96,0.03," $24,174.92 "," 48,500,000.00 ",0.000284215
0.04,0.96,0.04," $23,856.09 "," 48,000,000.00 ",0.000286893
0.04,0.96,0.05," $30,640.94 "," 47,500,000.00 ",0.000295987
0.04,0.96,0.06," $60,982.40 "," 47,000,000.00 ",0.000326587
0.04,0.96,0.07," $37,049.19 "," 46,500,000.00 ",0.000308214
0.04,0.96,0.08," $57,502.02 "," 46,000,000.00 ",0.00033047
0.04,0.96,0.09," $145,330.57 "," 45,500,000.00 ",0.000416182
0.04,0.96,0.1," $81,306.16 "," 45,000,000.00 ",0.000360308
0.04,0.96,0.11," $126,788.36 "," 44,500,000.00 ",0.000407818
0.04,0.96,0.12," $99,499.17 "," 44,000,000.00 ",0.00038608
0.04,0.96,0.13," $126,467.06 "," 43,500,000.00 ",0.00041688
0.04,0.96,0.14," $206,075.48 "," 43,000,000.00 ",0.000500452
0.04,0.96,0.15," $123,365.19 "," 42,500,000.00 ",0.000423587
0.04,0.96,0.16," $122,966.23 "," 42,000,000.00 ",0.000428226
0.04,0.96,0.17," $164,904.88 "," 41,500,000.00 ",0.000476358
0.04,0.96,0.18," $272,852.51 "," 41,000,000.00 ",0.000594124
0.04,0.96,0.19," $172,258.33 "," 40,500,000.00 ",0.000495842
0.04,0.96,0.2," $187,451.47 "," 40,000,000.00 ",0.000518192
0.04,0.96,0.21," $204,442.26 "," 39,500,000.00 ",0.000543043
0.04,0.96,0.22," $196,974.58 "," 39,000,000.00 ",0.000541864
0.04,0.96,0.23," $297,714.03 "," 38,500,000.00 ",0.000660168
0.04,0.96,0.24," $324,528.60 "," 38,000,000.00 ",0.000698861
0.04,0.96,0.25," $270,417.30 "," 37,500,000.00 ",0.000646821
0.04,0.96,0.26," $408,247.19 "," 37,000,000.00 ",0.000813967
0.04,0.96,0.27," $308,901.03 "," 36,500,000.00 ",0.000709379
0.04,0.96,0.28," $346,028.40 "," 36,000,000.00 ",0.000763088
0.04,0.96,0.29," $642,970.63 "," 35,500,000.00 ",0.001129526
0.04,0.96,0.3," $279,259.81 "," 35,000,000.00 ",0.000703773
0.04,0.96,0.31," $453,802.97 "," 34,500,000.00 ",0.00092911
0.04,0.96,0.32," $355,208.57 "," 34,000,000.00 ",0.000819464
0.04,0.96,0.33," $548,948.87 "," 33,500,000.00 ",0.001077623
0.04,0.96,0.34," $656,572.18 "," 33,000,000.00 ",0.001232637
0.04,0.96,0.35," $436,586.97 "," 32,500,000.00 ",0.000963769
0.04,0.96,0.36," $567,596.35 "," 32,000,000.00 ",0.001152925
0.04,0.96,0.37," $694,288.43 "," 31,500,000.00 ",0.001342259
0.04,0.96,0.38," $670,077.55 "," 31,000,000.00 ",0.001330701
0.04,0.96,0.39," $788,711.43 "," 30,500,000.00 ",0.001517923
0.04,0.96,0.4," $643,666.73 "," 30,000,000.00 ",0.001337628
0.04,0.96,0.41," $758,510.87 "," 29,500,000.00 ",0.001525853
0.04,0.96,0.42," $1,292,462.20 "," 29,000,000.00 ",0.002335134
0.04,0.96,0.43," $670,038.59 "," 28,500,000.00 ",0.001447392
0.04,0.96,0.44," $779,512.73 "," 28,000,000.00 ",0.001639507
0.04,0.96,0.45," $988,710.91 "," 27,500,000.00 ",0.001992819
0.04,0.96,0.46," $793,133.67 "," 27,000,000.00 ",0.001721694
0.04,0.96,0.47," $1,008,639.19 "," 26,500,000.00 ",0.002100014
0.04,0.96,0.48," $1,028,665.05 "," 26,000,000.00 ",0.002173161
0.04,0.96,0.49," $998,725.85 "," 25,500,000.00 ",0.002165852
0.04,0.96,0.5," $734,833.19 "," 25,000,000.00 ",0.001760287
0.04,0.96,0.51," $862,667.50 "," 24,500,000.00 ",0.002018108
0.04,0.96,0.52," $1,041,951.38 "," 24,000,000.00 ",0.002377839
