Ending Weight Token,Ending Weight USD,Sale Rate,Total Proceeds,Unsold Tokens,Min Price
0.01,0.99,0.99,6606889.341,500000,0.143838489
0.02,0.98,0.01,9099.48289,49500000,0.000130052
0.02,0.98,0.02,18461.91255,49000000,0.000135358
0.02,0.98,0.03,28095.0938,48500000,0.00014089
0.02,0.98,0.04,38007.08437,48000000,0.000146659
0.02,0.98,0.05,48206.20421,47500000,0.000152675
0.02,0.98,0.06,58701.04527,47000000,0.00015895
0.02,0.98,0.07,69500.48171,46500000,0.000165496
0.02,0.98,0.08,80613.68056,46000000,0.000172327
0.02,0.98,0.09,92050.11277,45500000,0.000179455
0.02,0.98,0.1,103819.5649,45000000,0.000186897
0.02,0.98,0.11,115932.1513,44500000,0.000194666
0.02,0.98,0.12,128398.3267,44000000,0.000202779
0.02,0.98,0.13,141228.8995,43500000,0.000211253
0.02,0.98,0.14,154435.0458,43000000,0.000220106
0.02,0.98,0.15,168028.3239,42500000,0.000229358
0.02,0.98,0.16,182020.6895,42000000,0.000239027
0.02,0.98,0.17,196424.5118,41500000,0.000249136
0.02,0.98,0.18,211252.5901,41000000,0.000259707
0.02,0.98,0.19,226518.1712,40500000,0.000270764
0.02,0.98,0.2,242234.9685,40000000,0.000282332
0.02,0.98,0.21,258417.1806,39500000,0.000294439
0.02,0.98,0.22,275079.512,39000000,0.000307113
0.02,0.98,0.23,292237.1942,38500000,0.000320384
0.02,0.98,0.24,309906.0087,38000000,0.000334284
0.02,0.98,0.25,328102.3097,37500000,0.000348848
0.02,0.98,0.26,346843.0499,37000000,0.000364112
0.02,0.98,0.27,366145.806,36500000,0.000380115
0.02,0.98,0.28,386028.8064,36000000,0.000396898
0.02,0.98,0.29,406510.9605,35500000,0.000414506
0.02,0.98,0.3,427611.8891,35000000,0.000432985
0.02,0.98,0.31,449351.9568,34500000,0.000452386
0.02,0.98,0.32,471752.3064,34000000,0.000472761
0.02,0.98,0.33,494834.8945,33500000,0.00049417
